30000  210000
57  2174  38
58  29670  97
58  4504  22
58  8676  19
58  24301  90
58  263  55
58  28264  44
58  14890  51
59  26736  16
59  1365  95
59  964  59
59  25653  93
59  27317  15
59  11421  61
59  27451  69
60  18742  48
60  9197  88
60  12502  35
60  23129  72
60  7449  76
60  27254  72
60  29330  94
61  13720  72
61  28821  65
61  21080  31
61  14411  81
61  26114  43
61  18139  83
61  26045  29
62  28394  76
62  10981  1
62  25597  48
62  17371  88
62  16544  34
62  12853  62
62  16825  1
63  2381  79
63  11858  24
63  19499  15
63  2846  63
63  18510  11
63  16850  19
63  9291  56
64  25744  56
64  16386  35
64  16276  22
64  21152  27
64  15252  60
64  22784  15
64  16438  80
65  17699  1
65  23138  86
65  15879  85
65  343  16
65  5961  68
65  25141  8
65  3567  29
66  563  64
66  11970  91
66  2624  79
66  17314  62
66  7011  41
66  26979  1
66  17395  8
67  7657  52
67  11787  32
67  24545  40
67  28777  85
67  24253  9
67  25515  55
67  15020  29
68  6672  71
68  26664  48
68  24025  44
68  6855  9
68  14982  53
68  6289  64
68  28360  20
69  25380  57
69  9462  88
69  18354  100
69  5789  45
69  29881  67
69  18284  75
69  237  10
70  18568  35
70  17940  85
70  9652  50
70  29267  68
70  20111  90
70  16328  74
70  15582  96
71  7937  75
71  15436  32
71  26973  29
71  19799  71
71  4588  98
71  29090  47
71  29091  12
72  16613  64
72  12113  82
72  21952  31
72  3322  14
72  25129  51
72  8601  60
72  29755  93
73  25195  31
73  28633  60
73  18778  80
73  18633  73
73  26384  82
73  27154  23
73  8522  57
74  19819  92
74  16901  97
74  14121  5
74  3600  30
74  7145  76
74  10871  17
74  4600  81
75  14619  89
75  29453  29
75  12801  63
75  14841  50
75  26386  84
75  14516  60
75  4879  60
76  8562  83
76  18049  55
76  19441  82
76  8771  29
76  10252  45
76  15870  96
76  2470  11
77  8173  24
77  2126  20
77  8851  32
77  11244  47
77  5870  71
77  21395  11
77  6393  65
78  19525  62
78  19520  21
78  1563  62
78  3726  35
78  5950  91
78  27323  61
78  20094  29
79  25123  82
79  6367  69
79  11024  23
79  26640  18
79  8794  65
79  19179  57
79  6772  42
80  21356  37
80  8490  29
80  27121  3
80  10313  17
80  23348  47
80  22852  73
80  25812  24
81  11737  6
81  9608  34
81  17867  54
81  1413  26
81  24041  54
81  4258  34
81  8296  40
82  2252  59
82  12695  61
82  21139  30
82  29876  99
82  24293  34
82  24563  77
82  3237  47
83  3874  65
83  7485  93
83  4120  43
83  9329  60
83  20263  46
83  15717  28
83  12173  49
84  14001  71
84  21399  93
84  19546  29
84  22301  44
84  22193  64
84  4784  73
84  19802  10
85  26222  87
85  4514  70
85  22532  58
85  25820  87
85  6857  17
85  24255  55
85  19815  16
86  26538  67
86  17298  78
86  25761  13
86  10192  32
86  14175  64
86  24878  25
86  24785  34
87  26751  28
87  15000  30
87  19610  45
87  5365  52
87  12813  80
87  24135  8
87  13584  1
88  14260  11
88  754  92
88  19322  26
88  5254  30
88  26097  54
88  662  59
88  17492  64
89  12921  69
89  1688  27
89  15473  20
89  5642  5
89  12952  93
89  28446  71
89  9475  63
90  6177  18
90  15827  14
90  23345  72
90  5980  36
90  28130  89
90  9849  79
90  25618  24
91  27839  9
91  28930  27
91  9969  7
91  25200  56
91  19830  77
91  3489  97
91  12820  65
92  21138  17
92  10319  92
92  20684  99
92  11121  49
92  9962  52
92  11019  78
92  9947  62
93  21479  29
93  15064  36
93  21507  9
93  8969  80
93  24120  24
93  19678  93
93  18954  79
94  21854  96
94  8272  76
94  20205  63
94  18033  20
94  23532  36
94  29469  69
94  22611  35
95  7271  79
95  26266  46
95  23280  76
95  15328  88
95  25364  38
95  15767  35
95  3084  76
96  26185  56
96  24157  100
96  13665  94
96  7887  34
96  4925  48
96  195  31
96  26768  66
97  6911  83
97  26806  15
97  19653  42
97  13586  92
97  27807  61
97  7961  13
97  10404  31
98  1086  1
98  28586  68
98  485  89
98  25201  87
98  101  96
98  28200  3
98  4429  84
99  13918  37
99  27803  90
99  6579  26
99  20790  23
99  596  6
99  12320  92
99  20722  75
100  18515  63
100  5707  84
100  24627  20
100  13802  31
100  7645  76
100  13259  63
100  13132  37
101  20721  9
101  11025  48
101  509  12
101  19398  1
101  18315  97
101  14000  46
101  2534  63
102  540  55
102  28822  87
102  26537  11
102  14663  74
102  4494  36
102  4989  72
102  6839  22
103  14892  14
103  10561  58
103  4093  44
103  19776  69
103  414  16
103  26637  92
103  23348  70
104  4833  35
104  8929  44
104  880  7
104  19055  8
104  2538  4
104  14422  48
104  11035  50
105  9417  60
105  11939  51
105  25184  87
105  11097  86
105  10525  23
105  364  82
105  3013  52
106  12203  96
106  11537  55
106  22209  81
106  18032  31
106  2096  15
106  3113  37
106  9938  10
107  15686  20
107  14382  11
107  29909  10
107  19440  68
107  16120  67
107  5000  21
107  14516  78
108  19923  43
108  3981  82
108  16886  31
108  16326  37
108  16995  46
108  2603  34
108  18481  57
109  2835  18
109  18882  82
109  23459  6
109  24993  61
109  8652  2
109  8543  45
109  19636  56
110  1873  44
110  7323  14
110  18442  82
110  25780  19
110  7161  30
110  24956  83
110  19365  33
111  29314  96
111  24329  5
111  9856  12
111  23882  11
111  9905  52
111  7617  62
111  8865  6
112  2123  14
112  4944  37
112  15119  95
112  22189  44
112  27640  3
112  20344  71
112  16220  13
113  13318  33
113  7783  98
113  7860  74
113  5591  20
113  14011  12
113  23016  79
113  8543  46
114  8271  63
114  23009  84
114  21100  10
114  28214  51
114  12952  66
114  3503  18
114  14954  100
115  7917  85
115  21870  43
115  3504  16
115  24330  58
115  3383  65
115  29353  55
115  12527  28
116  28756  60
116  22953  87
116  17423  30
116  13787  50
116  1880  99
116  8891  4
116  24687  44
117  18828  86
117  10199  88
117  10818  32
117  23477  62
117  21564  15
117  16384  33
117  19723  12
118  12792  72
118  6143  34
118  21554  31
118  12381  5
118  24916  88
118  7111  82
118  21559  87
119  1434  41
119  2660  37
119  27563  39
119  29755  27
119  23527  13
119  27596  22
119  1178  42
120  29159  55
120  26021  98
120  4728  52
120  29463  33
120  12938  5
120  26058  6
120  908  44
121  14259  40
121  7344  98
121  2282  66
121  11458  6
121  20118  13
121  25625  85
121  1460  100
122  2217  41
122  26852  47
122  22923  94
122  28616  50
122  1362  50
122  27232  97
122  26124  97
123  17445  51
123  26239  32
123  9360  36
123  21266  2
123  28388  38
123  3949  21
123  15425  95
124  22776  4
124  4990  87
124  10846  44
124  27258  33
124  23262  79
124  17105  3
124  27032  21
125  24687  31
125  18644  68
125  25649  45
125  7318  50
125  20126  74
125  7864  17
125  26681  49
126  10980  58
126  16815  6
126  2190  8
126  4906  28
126  23615  16
126  29309  98
126  19450  96
127  6030  27
127  17867  99
127  8986  63
127  17519  54
127  580  4
127  23384  24
127  10560  22
128  21175  35
128  12676  3
128  9437  80
128  2916  51
128  3014  51
128  22493  49
128  24084  82
129  5848  9
129  22707  79
129  2307  68
129  14115  11
129  24471  59
129  8618  47
129  22305  57
130  19664  38
130  29899  35
130  8657  9
130  13013  14
130  16281  25
130  9105  14
130  12074  63
131  2980  78
131  28270  48
131  25632  54
131  5634  40
131  12521  95
131  17598  25
131  26872  59
132  23321  49
132  28019  2
132  10518  93
132  12614  81
132  21357  41
132  18595  69
132  25671  64
133  21650  35
133  26426  72
133  1892  51
133  1218  11
133  2655  26
133  23902  95
133  6393  35
134  24971  47
134  16188  22
134  1566  90
134  2972  66
134  21161  11
134  20776  10
134  29695  24
135  21535  75
135  24415  95
135  20424  76
135  13078  58
135  15628  23
135  25575  73
135  18840  40
136  8184  18
136  531  91
136  22607  97
136  22013  96
136  21939  17
136  15322  85
136  9228  79
137  14461  73
137  23488  36
137  1582  27
137  19195  31
137  1296  59
137  13420  13
137  3444  13
138  28707  29
138  26594  27
138  11227  27
138  12734  82
138  25297  93
138  28062  10
138  1378  25
139  10523  41
139  1053  16
139  5181  93
139  17152  53
139  14974  78
139  20418  27
139  22466  62
140  22740  50
140  15008  20
140  2431  77
140  7826  82
140  18328  60
140  13498  94
140  18226  30
141  8823  49
141  22554  80
141  9469  28
141  27425  32
141  24278  7
141  10501  73
141  11602  31
142  699  78
142  4550  95
142  17128  53
142  10060  78
142  4671  52
142  27225  85
142  25021  16
143  25220  78
143  18696  96
143  25665  1
143  15119  18
143  13724  18
143  23755  69
143  18588  76
144  4914  23
144  24158  17
144  10583  43
144  20963  9
144  28441  6
144  11171  7
144  15202  20
145  1621  63
145  10318  36
145  21753  95
145  3236  11
145  20832  64
145  21852  48
145  15452  11
146  5550  48
146  16235  49
146  19224  89
146  16772  33
146  18960  57
146  25346  3
146  9724  90
147  21820  95
147  24887  8
147  7393  1
147  14947  2
147  19366  45
147  22757  75
147  17918  76
148  3696  67
148  16865  92
148  792  41
148  3757  60
148  19898  98
148  25310  64
148  26023  86
149  26900  20
149  1721  93
149  149  54
149  25777  77
149  16834  98
149  5194  4
149  28009  75
150  16767  4
150  6631  82
150  29187  26
150  17670  26
150  25159  86
150  2400  22
150  23115  61
151  25057  73
151  10054  54
151  25776  82
151  9556  63
151  15049  46
151  19453  71
151  21632  1
152  12264  48
152  8920  71
152  18202  60
152  18583  80
152  8997  30
152  13502  57
152  931  82
153  6421  63
153  12152  46
153  23171  55
153  5158  94
153  28016  9
153  13862  67
153  11174  79
154  23087  31
154  13053  27
154  4380  11
154  23433  52
154  25773  2
154  20188  80
154  15609  38
155  27037  3
155  18479  24
155  4089  75
155  24510  97
155  15124  63
155  8124  47
155  23880  56
156  11675  23
156  21432  58
156  24972  80
156  16195  28
156  4657  37
156  28217  48
156  26814  85
157  258  61
157  1558  1
157  1237  14
157  27534  76
157  18911  63
157  13267  7
157  15109  8
158  22174  38
158  27897  56
158  3225  67
158  25409  34
158  9562  58
158  13572  77
158  16115  15
159  1290  36
159  11860  39
159  28695  61
159  12928  44
159  843  56
159  2122  12
159  23581  13
160  28810  91
160  25484  46
160  8439  35
160  10939  65
160  6482  41
160  4551  19
160  21176  99
161  18275  88
161  18843  89
161  9821  83
161  9806  35
161  29221  47
161  7904  21
161  28851  76
162  5363  43
162  7071  39
162  19143  16
162  24736  78
162  18735  68
162  9875  81
162  7391  97
163  3007  82
163  26044  73
163  21356  39
163  11976  21
163  27376  87
163  8198  6
163  538  96
164  24784  96
164  177  84
164  15083  28
164  29152  100
164  15306  52
164  26378  7
164  23791  96
165  8397  62
165  8232  26
165  20607  80
165  471  25
165  1358  23
165  24054  74
165  15281  4
166  25084  35
166  22583  58
166  9564  42
166  4638  30
166  14688  87
166  29952  95
166  1623  31
167  29631  55
167  21507  20
167  14718  84
167  9140  14
167  1693  40
167  6145  69
167  18084  30
168  1866  6
168  3388  41
168  12288  98
168  6680  69
168  10364  1
168  28000  48
168  1502  89
169  7206  21
169  26245  73
169  23077  31
169  29320  70
169  12989  30
169  26153  33
169  14559  8
170  1682  63
170  23217  10
170  29246  49
170  13686  9
170  814  68
170  28106  15
170  29655  36
171  28471  64
171  13980  59
171  20040  60
171  9946  24
171  23749  45
171  15178  38
171  17492  43
172  20499  78
172  2005  83
172  25557  76
172  3134  11
172  11293  71
172  24271  54
172  25354  29
173  10129  74
173  1083  72
173  9301  6
173  13456  22
173  15385  35
173  15848  29
173  22489  86
174  4309  59
174  12775  24
174  18262  73
174  3925  36
174  16390  57
174  23345  99
174  27748  96
175  23968  84
175  24577  44
175  10837  38
175  22147  63
175  19758  43
175  19597  4
175  18382  82
176  19295  89
176  3805  56
176  20688  84
176  22218  66
176  25294  57
176  19939  52
176  19488  91
177  12681  33
177  3527  30
177  18708  15
177  17618  26
177  12639  27
177  19546  58
177  16126  8
178  3880  52
178  1642  60
178  23982  66
178  6326  95
178  3894  65
178  4564  30
178  5502  73
179  6941  54
179  14330  33
179  22281  60
179  25475  41
179  18777  90
179  7705  19
179  24969  87
180  21267  63
180  16375  99
180  19822  28
180  4416  28
180  29842  10
180  159  36
180  13766  62
181  17762  33
181  20273  20
181  6195  4
181  25255  32
181  20517  5
181  27684  75
181  5114  12
182  5545  9
182  21760  6
182  24673  93
182  1173  16
182  25230  14
182  17144  81
182  26510  6
183  29185  50
183  29512  10
183  8384  49
183  25786  8
183  761  81
183  22990  64
183  19734  67
184  8586  1
184  27586  43
184  11175  92
184  28664  94
184  3304  99
184  10364  62
184  23992  78
185  1090  98
185  19830  13
185  20570  61
185  6532  66
185  16712  14
185  18097  51
185  20805  24
186  10889  23
186  13821  17
186  8366  78
186  23373  13
186  20381  77
186  7901  42
186  12619  76
187  11920  44
187  20764  82
187  22059  83
187  5468  53
187  22552  62
187  15896  18
187  22430  28
188  26992  87
188  25461  57
188  14993  2
188  3240  12
188  385  71
188  3514  71
188  28309  86
189  6121  58
189  7246  98
189  10880  100
189  19703  84
189  6168  20
189  5970  38
189  9830  100
190  24619  19
190  28806  16
190  3838  16
190  7130  25
190  29916  67
190  27473  97
190  20161  79
191  24280  72
191  25325  46
191  781  78
191  26559  55
191  22116  9
191  9622  9
191  21946  53
192  16096  12
192  29011  61
192  3283  11
192  18283  11
192  22302  61
192  29636  21
192  22685  7
193  26606  9
193  15778  25
193  10050  94
193  16545  17
193  21625  82
193  27062  86
193  5639  4
194  27508  23
194  17014  96
194  14852  84
194  25699  58
194  17801  57
194  11090  2
194  24500  11
195  6675  96
195  1529  92
195  4648  82
195  23294  21
195  26169  16
195  17477  25
195  23054  65
196  2488  96
196  8520  94
196  14807  6
196  2232  79
196  11350  31
196  4210  88
196  4633  75
197  2985  71
197  14554  12
197  29389  65
197  19939  89
197  20608  63
197  11159  17
197  29176  78
198  29493  78
198  2030  91
198  19861  52
198  4028  22
198  11440  41
198  13365  78
198  29137  6
199  3012  85
199  20656  76
199  13160  40
199  2650  100
199  12173  75
199  11991  67
199  16743  23
200  3022  61
200  19835  48
200  21294  18
200  14102  66
200  28249  75
200  12333  89
200  8766  59
201  9003  11
201  720  11
201  2438  93
201  20737  49
201  14009  51
201  20934  20
201  20038  33
202  19695  94
202  26011  12
202  5906  59
202  23208  54
202  5575  65
202  11908  3
202  20815  70
203  5440  15
203  21088  96
203  24449  68
203  17314  68
203  16561  54
203  7671  84
203  24957  69
204  227  1
204  25323  38
204  15200  72
204  9897  18
204  19342  59
204  20436  89
204  12472  74
205  10108  21
205  16293  94
205  4553  90
205  23014  29
205  27604  99
205  10418  51
205  21989  47
206  21044  66
206  9689  12
206  21767  44
206  27639  5
206  1168  58
206  8123  47
206  29332  4
207  14121  28
207  21465  52
207  18206  30
207  27843  17
207  2189  51
207  6686  3
207  674  46
208  13398  16
208  21253  89
208  20387  29
208  9718  23
208  10724  27
208  3197  62
208  17080  85
209  843  91
209  9598  29
209  22312  44
209  25545  53
209  3926  39
209  18073  88
209  15458  16
210  24328  62
210  783  78
210  23145  29
210  11814  36
210  3902  40
210  28724  24
210  18965  92
211  1459  60
211  15344  49
211  5528  53
211  15134  9
211  25542  22
211  29900  70
211  6731  82
212  13577  14
212  29508  55
212  24399  70
212  2416  81
212  3648  28
212  5476  89
212  23187  65
213  22248  7
213  14039  28
213  10703  32
213  24080  58
213  11147  28
213  12441  39
213  4442  43
214  18503  66
214  5370  12
214  13909  3
214  1844  74
214  17081  37
214  23003  65
214  15971  2
215  15588  41
215  19109  56
215  206  88
215  14415  2
215  29666  100
215  22160  58
215  21391  44
216  16883  83
216  22904  40
216  27185  62
216  28605  33
216  15028  85
216  6525  57
216  7415  8
217  14949  9
217  23905  88
217  16836  33
217  1137  58
217  18526  65
217  13955  29
217  2234  24
218  2231  45
218  7371  33
218  21305  86
218  4680  65
218  7656  27
218  12680  11
218  26721  91
219  3502  25
219  11350  68
219  28803  11
219  23505  64
219  27161  65
219  1929  28
219  20102  1
220  8383  45
220  24986  70
220  4824  56
220  26769  79
220  18928  70
220  18275  22
220  9238  58
221  27321  90
221  4813  43
221  6684  3
221  27542  53
221  15068  88
221  6289  8
221  15034  33
222  27282  4
222  23233  28
222  5751  86
222  24971  20
222  5024  66
222  28575  18
222  3819  94
223  28201  35
223  26792  58
223  120  46
223  21794  13
223  23080  70
223  7519  31
223  22499  50
224  13658  91
224  26769  9
224  29427  73
224  6653  18
224  4994  12
224  7442  32
224  10708  69
225  10764  2
225  21923  38
225  9259  79
225  5047  95
225  8164  84
225  1911  85
225  8774  88
226  15233  70
226  21308  63
226  24485  49
226  4136  31
226  1699  95
226  25627  51
226  26135  16
227  5069  92
227  12600  72
227  21570  2
227  27397  11
227  22874  93
227  3012  29
227  901  13
228  12380  40
228  17070  52
228  28415  65
228  26885  12
228  24645  92
228  9128  42
228  21400  98
229  2496  7
229  11292  12
229  29539  83
229  29454  19
229  25124  4
229  25981  9
229  6874  38
230  4181  100
230  24294  50
230  20144  19
230  21947  76
230  25776  82
230  28777  31
230  8336  29
231  27449  98
231  8163  62
231  27248  38
231  815  96
231  6631  8
231  27857  26
231  8344  67
232  20016  51
232  21143  76
232  20524  66
232  20013  30
232  13381  74
232  14158  57
232  19224  54
233  10007  53
233  21377  63
233  13939  12
233  27267  95
233  14310  83
233  17397  10
233  29297  45
234  26736  66
234  3659  4
234  23904  5
234  11847  56
234  15951  76
234  3628  64
234  153  12
235  9785  88
235  4117  78
235  15252  91
235  10684  21
235  12000  91
235  20243  12
235  16837  63
236  7661  70
236  24715  79
236  11067  58
236  9900  51
236  22020  99
236  26644  69
236  8177  2
237  26047  89
237  27721  82
237  19250  12
237  28348  45
237  18477  97
237  16079  57
237  28237  63
238  5640  40
238  26480  88
238  8267  1
238  11607  92
238  20357  99
238  3347  71
238  1634  2
239  3591  85
239  18059  28
239  4595  87
239  18098  90
239  11236  28
239  22969  1
239  1465  41
240  29789  11
240  11884  24
240  17832  24
240  29157  15
240  5813  70
240  5753  63
240  24882  36
241  28236  72
241  16425  71
241  2867  94
241  21129  27
241  12334  100
241  11304  27
241  16689  42
242  12490  20
242  2682  16
242  21924  99
242  6453  69
242  22962  90
242  16502  84
242  18994  21
243  9614  43
243  20027  51
243  12957  33
243  12307  93
243  18965  3
243  7907  91
243  24720  3
244  18135  76
244  15993  33
244  29595  70
244  29044  48
244  26428  96
244  6965  94
244  9167  95
245  14485  59
245  23322  67
245  16871  43
245  15593  55
245  1130  46
245  24548  73
245  9781  97
246  21698  47
246  3541  7
246  4401  44
246  3782  15
246  11776  18
246  29303  93
246  17012  69
247  4276  38
247  27799  33
247  18738  67
247  23587  93
247  10505  61
247  19460  16
247  16396  86
248  29282  64
248  6269  65
248  9079  26
248  505  16
248  18527  87
248  7741  24
248  2909  51
249  23060  21
249  25098  80
249  3019  18
249  19158  31
249  722  52
249  21072  29
249  6023  100
250  28953  57
250  2750  77
250  25705  49
250  6688  34
250  12015  58
250  11060  11
250  12277  1
251  20017  71
251  6073  56
251  5443  87
251  27915  87
251  130  84
251  23588  88
251  5732  60
252  7586  100
252  15720  72
252  19270  4
252  25654  97
252  20442  99
252  18149  38
252  24227  22
253  17929  95
253  2564  28
253  28748  99
253  22932  91
253  24891  31
253  15724  18
253  15130  8
254  7184  40
254  13375  34
254  19147  90
254  7132  72
254  156  37
254  29480  47
254  3085  77
255  5875  85
255  16386  88
255  20546  50
255  2901  87
255  24309  14
255  10913  28
255  22951  43
256  2186  72
256  11350  55
256  9969  61
256  24597  60
256  10674  99
256  11686  49
256  15620  68
257  8105  34
257  2430  91
257  6095  67
257  28032  12
257  6270  59
257  3400  58
257  14746  24
258  16656  76
258  25221  77
258  14976  86
258  13769  93
258  13568  25
258  24145  87
258  9191  14
259  19326  39
259  12744  4
259  10313  12
259  22897  73
259  15064  97
259  828  66
259  20704  20
260  29244  72
260  25601  50
260  21530  39
260  5798  66
260  20917  44
260  15780  48
260  19649  78
261  17149  81
261  14561  39
261  7993  62
261  21518  77
261  22589  43
261  16146  5
261  11780  70
262  2676  66
262  15754  16
262  20541  70
262  10028  2
262  13157  11
262  7586  94
262  6707  94
263  6473  16
263  8300  6
263  447  54
263  13038  50
263  11823  21
263  6455  23
263  13847  60
264  8197  29
264  5753  17
264  7658  77
264  2300  94
264  20904  37
264  24264  36
264  24516  20
265  5622  94
265  10153  45
265  12516  77
265  2624  81
265  5010  38
265  12924  86
265  743  42
266  12758  3
266  18699  44
266  14163  86
266  19335  93
266  27124  80
266  9084  95
266  7387  53
267  12194  78
267  3610  55
267  21068  69
267  9599  51
267  11053  55
267  17433  9
267  9402  91
268  20142  45
268  2195  88
268  15175  32
268  24938  83
268  6297  82
268  8273  83
268  27434  57
269  5237  31
269  9416  71
269  21312  34
269  547  46
269  9521  98
269  827  13
269  10015  34
270  15502  78
270  1984  36
270  9946  67
270  23871  70
270  20548  85
270  14782  33
270  3642  82
271  27502  48
271  26224  16
271  28862  62
271  2233  27
271  10741  63
271  13965  60
271  29578  36
272  2056  24
272  8927  60
272  2924  66
272  28940  47
272  13668  22
272  22084  52
272  1674  44
273  22587  100
273  28418  62
273  11794  56
273  28615  95
273  22917  74
273  15208  2
273  3381  59
274  9805  92
274  8845  82
274  19964  99
274  14593  91
274  25721  55
274  12430  41
274  9182  61
275  17556  83
275  27980  66
275  16496  16
275  23251  89
275  16790  26
275  18458  87
275  26383  46
276  8715  94
276  11643  82
276  11313  97
276  23967  67
276  27791  62
276  19490  60
276  7636  20
277  18337  93
277  3324  82
277  8603  6
277  13628  19
277  26106  64
277  28093  39
277  1550  34
278  7109  37
278  13232  97
278  7029  10
278  8545  18
278  9937  37
278  7310  40
278  21291  15
279  24005  69
279  18057  85
279  22018  76
279  10666  13
279  29611  60
279  1189  49
279  22634  33
280  2735  7
280  10651  11
280  14708  76
280  12421  9
280  17722  8
280  7200  58
280  20462  8
281  25191  11
281  20601  37
281  29579  39
281  18894  16
281  26916  73
281  7648  44
281  22752  40
282  17996  27
282  1615  86
282  16420  81
282  23099  57
282  16210  90
282  7646  66
282  1077  52
283  12442  74
283  16816  45
283  5747  4
283  15284  41
283  10134  54
283  25887  53
283  23813  69
284  283  88
284  27569  63
284  5705  97
284  4813  65
284  28810  46
284  17  10
284  22262  79
285  12362  32
285  20513  12
285  8057  61
285  15000  98
285  18343  7
285  23524  45
285  3908  85
286  12788  81
286  58  79
286  20941  10
286  6263  67
286  8122  37
286  28808  27
286  4438  37
287  26107  53
287  16331  68
287  6601  37
287  13617  16
287  14447  100
287  1678  13
